gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
5066,830625,"(8:13) C.Carson right end to CIN 6 for 11 yards (S.Hubbard, S.Williams).",SEA,CIN,RUSH,5,43,2,8,13,0,3,3,2,1,10,83,5,11,Y,Y,,,0,CC-0750,,RE,SH-1393,SW-1550,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830626,(7:30) (Shotgun) C.Carson left end to CIN 5 for 1 yard (J.Bates).,SEA,CIN,RUSH,6,47,2,7,30,0,3,3,2,1,6,94,5,1,,,Y,,0,CC-0750,,LE,JB-1650,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830627,"(6:43) (Shotgun) R.Wilson pass incomplete short right to D.Metcalf. PENALTY on CIN-B.Webb, Defensive Pass Interference, 4 yards, enforced at CIN 5 - No Play.",SEA,CIN,NOPL,6,4,2,6,43,0,3,3,2,2,5,95,5,0,,,,,0,,,,,,,,,,,,,,,,CIN,BW-0770,Defensive Pass Interference,5,4,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830628,"(6:39) (Shotgun) C.Carson up the middle for 1 yard, TOUCHDOWN.",SEA,CIN,RUSH,7,3,2,6,39,0,3,3,2,1,1,99,5,1,Y,Y,Y,,7,CC-0750,,MD,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830629,"J.Myers extra point is GOOD, Center-T.Ott, Holder-M.Dickson.",SEA,CIN,FGXP,7,3,2,6,36,7,3,3,2,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,XP,JM-7000,33,Y,,0,0,,,0,,,0,0,,,0
5066,830630,"J.Myers kicks 65 yards from SEA 35 to end zone, Touchback.",CIN,SEA,KOFF,0,6,2,6,36,3,7,2,3,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,JM-7000,65,40,Y,,0
5066,830631,(6:36) (Shotgun) A.Dalton pass short left to T.Boyd to CIN 31 for 6 yards (T.Thompson; M.Kendricks).,CIN,SEA,PASS,1,30,2,6,36,3,7,2,3,1,10,25,2,6,Y,,Y,,0,,,,,,AD-0100,Y,,SL,TB-2075,,MK-0730,TT-1262,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830632,"(6:02) (Shotgun) A.Dalton pass deep left to C.Uzomah to SEA 33 for 36 yards (T.Flowers, T.Thompson).",CIN,SEA,PASS,2,42,2,6,2,3,7,2,3,2,4,31,2,36,Y,Y,Y,,0,,,,,,AD-0100,Y,,DL,CU-0150,,TT-1262,TF-0725,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830633,"(5:20) A.Dalton pass deep left to J.Ross for 33 yards, TOUCHDOWN.",CIN,SEA,PASS,3,8,2,5,20,3,7,2,3,1,10,67,4,33,Y,Y,,,7,,,,,,AD-0100,Y,,DL,JR-3280,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830634,"R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",CIN,SEA,FGXP,3,3,2,5,12,10,7,2,3,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,XP,RB-4650,33,Y,,0,0,,,0,,,0,0,,,0
